N,T,trial,iterations,fitness,time,fevals
20,8,0,0,7.0,4.39440000264e-05,117,0
20,8,0,10,12.0,8.76320000316e-05,216,0
20,8,0,20,12.0,0.000143073000118,319,0
20,8,0,30,13.0,0.00018497300016,421,1
20,8,0,40,13.0,0.000240415000235,528,0
20,8,0,50,13.0,0.000284360000251,634,1
20,8,0,60,13.0,0.000338013000146,738,2
20,8,0,70,20.0,0.000401119000117,840,3
20,8,0,80,20.0,0.000457071000028,946,0
20,8,0,90,20.0,0.000512257000082,1051,1
20,8,0,100,20.0,0.000554158000114,1148,2
20,8,0,110,20.0,0.000597080000034,1260,3
20,8,0,120,20.0,0.000637958000198,1359,4
20,8,0,130,19.0,0.000678070000276,1464,5
20,8,0,140,18.0,0.000719715000059,1566,6
20,8,0,150,18.0,0.000763915000107,1672,7
20,8,0,160,20.0,0.000806838000017,1775,8
20,8,0,170,18.0,0.000847971999974,1878,9
20,8,0,180,17.0,0.000891660999969,1982,10
20,8,0,190,17.0,0.000949401000071,2088,11
20,8,0,200,18.0,0.000993090000065,2198,12
20,8,0,210,18.0,0.00104393200013,2305,13
20,8,0,220,19.0,0.00108327700013,2411,14
20,8,0,230,19.0,0.00112517699995,2510,15
20,8,0,240,18.0,0.00116733300001,2618,16
20,8,0,250,17.0,0.00121025500016,2724,17
20,8,0,260,17.0,0.00125011100022,2825,18
20,8,0,270,18.0,0.00129073300036,2924,19
20,8,0,280,18.0,0.0013436200004,3029,20
20,8,0,290,19.0,0.00138347700045,3141,21
20,8,0,300,18.0,0.00143764100039,3239,22
20,8,0,310,19.0,0.0014892500003,3340,23
20,8,0,320,20.0,0.0015319160002,3449,24
20,8,0,330,20.0,0.00157228300031,3553,25
20,8,0,340,20.0,0.00161290600045,3660,26
20,8,0,350,20.0,0.0016540400004,3765,27
20,8,0,360,19.0,0.00169594000045,3875,28
20,8,0,370,18.0,0.0017360520003,3977,29
20,8,0,380,18.0,0.0017753970003,4078,30
20,8,0,390,16.0,0.00181678600029,4180,31
20,8,0,400,19.0,0.00185562000047,4279,32
20,8,0,410,19.0,0.0019095280004,4386,33
20,8,0,420,20.0,0.0019642030004,4482,34
20,8,0,430,20.0,0.00201708900045,4583,35
20,8,0,440,20.0,0.00206844200056,4687,36
20,8,0,450,20.0,0.00210676500069,4794,37
20,8,0,460,20.0,0.00214687700054,4895,38
20,8,0,470,17.0,0.00218698900062,5001,39
20,8,0,480,16.0,0.00222633400062,5106,40
20,8,0,490,15.0,0.00226644600048,5212,41
20,8,0,500,14.0,0.00231345600037,5320,42
20,8,0,510,13.0,0.00235561200043,5419,43
20,8,0,520,19.0,0.00240006700028,5524,44
20,8,0,530,20.0,0.00245346400038,5627,45
20,8,0,540,20.0,0.00249791900023,5725,46
20,8,0,550,19.0,0.0025531040003,5826,47
20,8,0,560,20.0,0.00259985800017,5928,48
20,8,0,570,19.0,0.00264431300025,6032,49
20,8,0,580,20.0,0.00268365800025,6141,50
20,8,0,590,20.0,0.00272376900034,6245,51
20,8,0,600,20.0,0.00276515900032,6348,52
20,8,0,610,20.0,0.00281804500037,6451,53
20,8,0,620,17.0,0.00286250000045,6563,54
20,8,0,630,16.0,0.00291257500044,6669,55
20,8,0,640,17.0,0.00295422000045,6770,56
20,8,0,650,20.0,0.00299663100054,6872,57
20,8,0,660,20.0,0.00303674300062,6977,58
20,8,0,670,20.0,0.00307736600053,7080,59
20,8,0,680,19.0,0.00311875500051,7179,60
20,8,0,690,19.0,0.0031591220004,7280,61
20,8,0,700,20.0,0.00320102200021,7384,62
20,8,0,710,20.0,0.00324752100005,7488,63
20,8,0,720,19.0,0.00329529700002,7591,64
20,8,0,730,19.0,0.00334256200017,7700,65
20,8,0,740,18.0,0.00339468200013,7798,66
20,8,0,750,18.0,0.00343504900002,7901,67
20,8,0,760,20.0,0.00347618299998,8004,68
20,8,0,770,19.0,0.00351629500005,8110,69
20,8,0,780,16.0,0.00355845100012,8215,70
20,8,0,790,19.0,0.00359958500007,8318,71
20,8,0,800,19.0,0.00364046300001,8422,72
20,8,0,810,20.0,0.0036984599999,8523,73
20,8,0,820,18.0,0.00374419199989,8626,74
20,8,0,830,17.0,0.00378353699989,8732,75
20,8,0,840,17.0,0.00382441499983,8836,76
20,8,0,850,17.0,0.00386810399982,8935,77
20,8,0,860,15.0,0.00391306999973,9038,78
20,8,0,870,15.0,0.00395241499973,9142,79
20,8,0,880,14.0,0.00399303799986,9247,80
20,8,0,890,14.0,0.00403417199982,9351,81
20,8,0,900,18.0,0.00407837099965,9458,82
20,8,0,910,17.0,0.00412384799961,9573,83
20,8,0,920,17.0,0.00416804799966,9677,84
20,8,0,930,20.0,0.00421071499977,9780,85
20,8,0,940,19.0,0.00425389299971,9887,86
20,8,0,950,19.0,0.00429349399974,9997,87
20,8,0,960,18.0,0.00433232799969,10095,88
20,8,0,970,16.0,0.00437550499964,10197,89
20,8,0,980,16.0,0.00441612699956,10306,90
20,8,0,990,18.0,0.00446032599962,10408,91
20,8,0,1000,18.0,0.00450171499961,10509,92
20,8,0,1010,19.0,0.00454284899956,10615,93
20,8,0,1020,19.0,0.00458347199947,10720,94
20,8,0,1030,20.0,0.00464632199942,10820,95
20,8,0,1040,20.0,0.00468796699943,10922,96
20,8,0,1050,20.0,0.00472654599935,11029,97
20,8,0,1060,20.0,0.00477840999929,11128,98
20,8,0,1070,20.0,0.00482056499936,11235,99
20,8,0,1070,20.0,0.00482056499936,11235,optimal
20,8,1,0,13.0,4.39440000264e-05,121,0
20,8,1,10,14.0,8.6354999894e-05,223,0
20,8,1,20,14.0,0.000141539999731,321,0
20,8,1,30,15.0,0.000191104999658,425,1
20,8,1,40,15.0,0.000231983999811,522,0
20,8,1,50,17.0,0.0002733729998,624,1
20,8,1,60,16.0,0.000314250999736,726,0
20,8,1,70,16.0,0.000370969999722,825,1
20,8,1,80,13.0,0.000425899999755,928,2
20,8,1,90,13.0,0.000484406999931,1034,3
20,8,1,100,16.0,0.000543169999901,1138,4
20,8,1,110,16.0,0.000601166000024,1237,5
20,8,1,120,19.0,0.000657628999988,1338,6
20,8,1,130,18.0,0.000704127999825,1440,0
20,8,1,140,20.0,0.000768254999912,1549,1
20,8,1,150,18.0,0.000811432999853,1655,0
20,8,1,160,18.0,0.000857165999832,1756,1
20,8,1,170,20.0,0.000915161999956,1853,2
20,8,1,180,20.0,0.000967536999951,1955,3
20,8,1,190,19.0,0.00101505799989,2061,4
20,8,1,200,20.0,0.00106206800001,2170,5
20,8,1,210,17.0,0.00112772900002,2276,6
20,8,1,220,18.0,0.00117652800009,2380,7
20,8,1,230,17.0,0.00121715099999,2485,8
20,8,1,240,18.0,0.0012575180001,2592,9
20,8,1,250,17.0,0.00131295900019,2693,10
20,8,1,260,17.0,0.00136712200015,2808,11
20,8,1,270,16.0,0.00142486300024,2912,12
20,8,1,280,16.0,0.00148056000012,3016,13
20,8,1,290,17.0,0.00153906700029,3119,14
20,8,1,300,17.0,0.00159527400046,3227,15
20,8,1,310,19.0,0.00163743000053,3335,16
20,8,1,320,19.0,0.00167779700064,3437,17
20,8,1,330,19.0,0.00173247200064,3538,18
20,8,1,340,16.0,0.00178561300072,3647,19
20,8,1,350,16.0,0.00182981200078,3751,20
20,8,1,360,16.0,0.00187094600074,3861,21
20,8,1,370,16.0,0.00192459800087,3964,22
20,8,1,380,16.0,0.00196624200089,4073,23
20,8,1,390,14.0,0.00200890900078,4179,24
20,8,1,400,14.0,0.00205157600089,4288,25
20,8,1,410,17.0,0.0020952640009,4394,26
20,8,1,420,17.0,0.00213971900098,4500,27
20,8,1,430,16.0,0.00219950300084,4604,28
20,8,1,440,17.0,0.00224370300089,4703,29
20,8,1,450,20.0,0.00229582200086,4801,30
20,8,1,460,20.0,0.002343088001,4900,31
20,8,1,470,20.0,0.00238498900103,5002,32
20,8,1,480,20.0,0.00242637800102,5106,33
20,8,1,490,20.0,0.00246853400108,5209,34
20,8,1,500,20.0,0.00251477800111,5311,35
20,8,1,510,20.0,0.00256843000102,5413,36
