N,T,trial,iterations,fitness,time,fevals
20,8,0,0,11.0,0.00131372400028,200,0
20,8,0,10,11.0,0.00239980700007,420,0
20,8,0,20,12.0,0.00354107699968,640,1
20,8,0,30,12.0,0.00472450199959,860,0
20,8,0,40,13.0,0.00581314099963,1080,1
20,8,0,50,11.0,0.00707959999909,1300,0
20,8,0,60,11.0,0.00826787999904,1520,1
20,8,0,70,12.0,0.00938334499915,1740,2
20,8,0,80,15.0,0.0106858279996,1960,3
20,8,0,90,14.0,0.0118291419994,2180,0
20,8,0,100,12.0,0.0129918729999,2400,1
20,8,0,110,12.0,0.0140799999999,2620,2
20,8,0,120,14.0,0.0151438560006,2840,3
20,8,0,130,14.0,0.0162015800006,3060,4
20,8,0,140,15.0,0.0172048850009,3280,5
20,8,0,150,14.0,0.0182421710006,3500,6
20,8,0,160,14.0,0.0193622340003,3720,7
20,8,0,170,14.0,0.0204501059998,3940,8
20,8,0,180,14.0,0.021501188,4160,9
20,8,0,190,14.0,0.0229137859997,4380,10
20,8,0,200,12.0,0.0239653789995,4600,11
20,8,0,210,13.0,0.0251398619994,4820,12
20,8,0,220,12.0,0.0261886439994,5040,13
20,8,0,230,13.0,0.0272606749995,5260,14
20,8,0,240,14.0,0.0283459929997,5480,15
20,8,0,250,16.0,0.0294075499996,5700,16
20,8,0,260,17.0,0.0304180089997,5920,0
20,8,0,270,17.0,0.0313538649998,6140,0
20,8,0,280,18.0,0.0322935529994,6360,1
20,8,0,290,18.0,0.0332455049993,6580,0
20,8,0,300,19.0,0.0342048659986,6800,1
20,8,0,310,17.0,0.0352035719989,7020,0
20,8,0,320,17.0,0.0360942069983,7240,1
20,8,0,330,17.0,0.0370070699983,7460,2
20,8,0,340,18.0,0.0380126739983,7680,3
20,8,0,350,16.0,0.0390537919984,7900,4
20,8,0,360,16.0,0.0400320589988,8120,5
20,8,0,370,15.0,0.0410351079981,8340,6
20,8,0,380,15.0,0.0421063729982,8560,7
20,8,0,390,15.0,0.0431313949985,8780,8
20,8,0,400,12.0,0.0441786439987,9000,9
20,8,0,410,16.0,0.0451786279982,9220,10
20,8,0,420,20.0,0.0461903649984,9440,11
20,8,0,430,15.0,0.0471147249991,9660,0
20,8,0,440,19.0,0.0480122569998,9880,1
20,8,0,450,20.0,0.0489128559993,10100,2
20,8,0,460,15.0,0.049853565999,10320,3
20,8,0,470,19.0,0.0508382209991,10540,4
20,8,0,480,20.0,0.0517303879997,10760,5
20,8,0,490,18.0,0.0526463160004,10980,6
20,8,0,500,19.0,0.0535857490004,11200,7
20,8,0,510,19.0,0.0545366790011,11420,8
20,8,0,520,14.0,0.0556810140015,11640,9
20,8,0,530,13.0,0.0566659240012,11860,10
20,8,0,540,14.0,0.0577484310015,12080,11
20,8,0,550,14.0,0.0588460110021,12300,12
20,8,0,560,17.0,0.0597772680021,12520,13
20,8,0,570,16.0,0.0607225770027,12740,14
20,8,0,580,17.0,0.0616443810022,12960,15
20,8,0,590,20.0,0.0626262260021,13180,16
20,8,0,600,17.0,0.0635395990021,13400,17
20,8,0,610,18.0,0.064443264002,13620,18
20,8,0,620,17.0,0.0653888290017,13840,19
20,8,0,630,17.0,0.0662838070011,14060,20
20,8,0,640,20.0,0.0672084220014,14280,21
20,8,0,650,19.0,0.0681895000007,14500,22
20,8,0,660,20.0,0.069127144,14720,23
20,8,0,670,19.0,0.070083183,14940,24
20,8,0,680,19.0,0.0709827600003,15160,25
20,8,0,690,20.0,0.0721396150011,15380,26
20,8,0,700,20.0,0.0730420020009,15600,27
20,8,0,710,20.0,0.073965851001,15820,28
20,8,0,720,20.0,0.0749165250008,16040,29
20,8,0,730,16.0,0.075970928001,16260,30
20,8,0,740,16.0,0.0768896660011,16480,31
20,8,0,750,18.0,0.0778704880013,16700,32
20,8,0,760,15.0,0.0788257610011,16920,33
20,8,0,770,18.0,0.0798124600005,17140,34
20,8,0,780,14.0,0.0807927719998,17360,35
20,8,0,790,14.0,0.081738848,17580,36
20,8,0,800,15.0,0.0827843089992,17800,37
20,8,0,810,17.0,0.0837564449985,18020,38
20,8,0,820,13.0,0.0847260259989,18240,39
20,8,0,830,14.0,0.085719622999,18460,40
20,8,0,840,14.0,0.0867052989997,18680,41
20,8,0,850,14.0,0.0877201009998,18900,42
20,8,0,860,16.0,0.088801586,19120,43
20,8,0,870,15.0,0.0897650349998,19340,44
20,8,0,880,16.0,0.0907220969993,19560,45
20,8,0,890,16.0,0.0917555499991,19780,46
20,8,0,900,14.0,0.0927693309986,20000,47
20,8,0,910,18.0,0.0937325239984,20220,48
20,8,0,920,16.0,0.0946998059981,20440,49
20,8,0,930,20.0,0.0956849719987,20660,50
20,8,0,940,20.0,0.0966494429986,20880,51
