N,T,trial,iterations,fitness,time,fevals
20,8,0,0,4.0,0.00033188,11,0
20,8,0,10,4.0,0.000426922,21,0
20,8,0,20,6.0,0.000532695,31,1
20,8,0,30,6.0,0.000621094,41,0
20,8,0,40,10.0,0.000698508,51,1
20,8,0,50,10.0,0.000790484,61,0
20,8,0,60,14.0,0.000874795,71,1
20,8,0,70,14.0,0.000940712,81,0
20,8,0,80,14.0,0.001010716,91,1
20,8,0,90,14.0,0.001085064,101,2
20,8,0,100,14.0,0.001168609,111,3
20,8,0,110,14.0,0.001245767,121,4
20,8,0,120,14.0,0.001337232,131,5
20,8,0,130,14.0,0.001393695,141,6
20,8,0,140,14.0,0.001445304,151,7
20,8,0,150,14.0,0.001684953,161,8
20,8,0,160,14.0,0.001795069,171,9
20,8,0,170,16.0,0.001837736,181,10
20,8,0,180,16.0,0.001891644,191,0
20,8,0,190,16.0,0.001950151,201,1
20,8,0,200,16.0,0.002003038,211,2
20,8,0,210,16.0,0.002094247,221,3
20,8,0,220,16.0,0.002135637,231,4
20,8,0,230,16.0,0.002193377,241,5
20,8,0,240,16.0,0.002232211,251,6
20,8,0,250,18.0,0.002293273,261,7
20,8,0,260,18.0,0.002352036,271,0
20,8,0,270,18.0,0.002389593,281,1
20,8,0,280,18.0,0.002437114,291,2
20,8,0,290,20.0,0.00248438,301,3
20,8,0,300,20.0,0.002531134,311,0
20,8,0,310,20.0,0.002585298,321,1
20,8,0,320,20.0,0.00262541,331,2
20,8,0,330,20.0,0.002790456,341,3
20,8,0,340,20.0,0.002866081,351,4
20,8,0,350,20.0,0.002903127,361,5
20,8,0,360,20.0,0.002941195,371,6
20,8,0,370,20.0,0.002991527,381,7
20,8,0,380,20.0,0.003050545,391,8
20,8,0,390,20.0,0.003092701,401,9
20,8,0,400,20.0,0.003113396,411,10
20,8,0,410,20.0,0.003143543,421,11
20,8,0,420,20.0,0.003177778,431,12
20,8,0,430,20.0,0.003222233,441,13
20,8,0,440,20.0,0.003257235,451,14
20,8,0,450,20.0,0.003287127,461,15
20,8,0,460,20.0,0.003326472,471,16
20,8,0,470,20.0,0.003359685,481,17
20,8,0,480,20.0,0.003393409,491,18
20,8,0,490,20.0,0.003424323,501,19
20,8,0,500,20.0,0.003458558,511,20
20,8,0,510,20.0,0.003502757,521,21
20,8,0,520,20.0,0.003532905,531,22
20,8,0,530,20.0,0.003561775,541,23
20,8,0,540,20.0,0.003594478,551,24
20,8,0,550,20.0,0.003633568,561,25
20,8,0,560,20.0,0.003666526,571,26
20,8,0,570,20.0,0.003695396,581,27
20,8,0,580,20.0,0.003725543,591,28
20,8,0,590,20.0,0.003758757,601,29
20,8,0,600,20.0,0.003798869,611,30
20,8,0,610,20.0,0.003829272,621,31
20,8,0,620,20.0,0.003858654,631,32
20,8,0,630,20.0,0.003905154,641,33
20,8,0,640,20.0,0.003937857,651,34
20,8,0,650,20.0,0.003979758,661,35
20,8,0,660,20.0,0.004031623,671,36
20,8,0,670,20.0,0.004058705,681,37
20,8,0,680,20.0,0.004097028,691,38
20,8,0,690,20.0,0.004123855,701,39
20,8,0,700,20.0,0.004157069,711,40
20,8,0,710,20.0,0.004184407,721,41
20,8,0,720,20.0,0.004208423,731,42
20,8,0,730,20.0,0.004242148,741,43
20,8,0,740,20.0,0.004272296,751,44
20,8,0,750,20.0,0.004301678,761,45
20,8,0,760,20.0,0.004336681,771,46
20,8,0,770,20.0,0.004374493,781,47
20,8,0,780,20.0,0.00440694,791,48
20,8,0,790,20.0,0.004434277,801,49
20,8,0,800,20.0,0.004462637,811,50
20,8,0,810,20.0,0.004504537,821,51
20,8,0,820,20.0,0.004554357,831,52
20,8,0,830,20.0,0.004581694,841,53
20,8,0,840,20.0,0.004609287,851,54
20,8,0,850,20.0,0.004639945,861,55
20,8,0,860,20.0,0.004668304,871,56
20,8,0,870,20.0,0.004693342,881,57
20,8,0,880,20.0,0.004721446,891,58
20,8,0,890,20.0,0.004745462,901,59
20,8,0,900,20.0,0.004773565,911,60
20,8,0,910,20.0,0.00479758,921,61
20,8,0,920,20.0,0.004846889,931,62
20,8,0,930,20.0,0.004898498,941,63
20,8,0,940,20.0,0.004921492,951,64
20,8,0,950,20.0,0.004951384,961,65
20,8,0,960,20.0,0.004977699,971,66
20,8,0,970,20.0,0.005007336,981,67
20,8,0,980,20.0,0.005031096,991,68
20,8,0,990,20.0,0.005053323,1001,69
20,8,0,1000,20.0,0.005080405,1011,70
20,8,0,1010,20.0,0.00510902,1021,71
20,8,0,1020,20.0,0.005143,1031,72
20,8,0,1030,20.0,0.00516395,1041,73
20,8,0,1040,20.0,0.005186944,1051,74
20,8,0,1050,20.0,0.005208405,1061,75
20,8,0,1060,20.0,0.005227822,1071,76
20,8,0,1070,20.0,0.005247495,1081,77
20,8,0,1080,20.0,0.005272278,1091,78
20,8,0,1090,20.0,0.005295783,1101,79
20,8,0,1100,20.0,0.00533053,1111,80
20,8,0,1110,20.0,0.005353269,1121,81
20,8,0,1120,20.0,0.005375241,1131,82
20,8,0,1130,20.0,0.005395169,1141,83
20,8,0,1140,20.0,0.005424294,1151,84
20,8,0,1150,20.0,0.005446522,1161,85
20,8,0,1160,20.0,0.005478458,1171,86
20,8,0,1170,20.0,0.005500686,1181,87
20,8,0,1180,20.0,0.005520869,1191,88
20,8,0,1190,20.0,0.005543097,1201,89
20,8,0,1200,20.0,0.005578865,1211,90
20,8,0,1210,20.0,0.005601092,1221,91
20,8,0,1220,20.0,0.005622298,1231,92
20,8,0,1230,20.0,0.00564657,1241,93
20,8,0,1240,20.0,0.00569077,1251,94
20,8,0,1250,20.0,0.00572986,1261,95
20,8,0,1260,20.0,0.0057503,1271,96
20,8,0,1270,20.0,0.005833334,1281,97
20,8,0,1280,20.0,0.00586246,1291,98
20,8,0,1290,20.0,0.005882132,1301,99
20,8,0,1290,20.0,0.005882132,1301,optimal
20,8,1,0,7.0,1.96730000001e-05,11,0
20,8,1,10,8.0,4.62440000001e-05,21,0
20,8,1,20,8.0,7.02600000001e-05,31,0
20,8,1,30,8.0,9.17210000001e-05,41,1
20,8,1,40,11.0,0.000119569,51,2
