N,trial,iterations,fitness,time,fevals
20,0,0,16.0,0.00248386399994,167,0
20,0,10,15.0,0.00291742899992,312,0
20,0,20,17.0,0.00319080199995,448,1
20,0,30,17.0,0.00345599999991,591,0
20,0,40,16.0,0.00369079399991,728,1
20,0,50,17.0,0.00389952799992,867,2
20,0,60,15.0,0.00409574299988,1006,3
20,0,70,15.0,0.00430294499984,1148,4
20,0,80,17.0,0.00452879699981,1283,5
20,0,90,15.0,0.00473625399979,1424,6
20,0,100,17.0,0.00495239799977,1562,7
20,0,110,15.0,0.00529373099982,1704,8
20,0,120,16.0,0.00545571099985,1847,9
20,0,130,16.0,0.0055699149998,1987,10
20,0,140,16.0,0.0056715999998,2124,11
20,0,150,16.0,0.00582974799988,2262,12
20,0,160,16.0,0.00592070199991,2398,13
20,0,170,16.0,0.00601267799982,2538,14
20,0,180,16.0,0.0061304579998,2681,15
20,0,190,16.0,0.00626254599979,2817,16
20,0,200,16.0,0.00634941199985,2958,17
20,0,210,16.0,0.00643806599987,3102,18
20,0,220,16.0,0.00652518799984,3238,19
20,0,230,16.0,0.00664603499979,3379,20
20,0,240,16.0,0.00674260999983,3521,21
20,0,250,16.0,0.00683024299985,3661,22
20,0,260,16.0,0.00690688899988,3803,23
20,0,270,16.0,0.00699758699989,3943,24
20,0,280,16.0,0.00712200999988,4080,25
20,0,290,16.0,0.00722216099985,4223,26
20,0,300,14.0,0.00731004999989,4365,27
20,0,310,14.0,0.0073987049999,4501,28
20,0,320,16.0,0.00748403799992,4639,29
20,0,330,15.0,0.00759645299991,4779,30
20,0,340,16.0,0.00768434099996,4915,31
20,0,350,17.0,0.00776507499995,5056,32
20,0,360,16.0,0.00784248899993,5200,33
20,0,370,16.0,0.007939319,5339,34
20,0,380,16.0,0.00802541900009,5473,35
20,0,390,13.0,0.0081097310001,5614,36
20,0,400,14.0,0.00819021000007,5756,37
20,0,410,15.0,0.00827963100005,5896,38
20,0,420,13.0,0.00836292000008,6036,39
20,0,430,14.0,0.008452852,6174,40
20,0,440,16.0,0.00855095999998,6317,41
20,0,450,16.0,0.00862632999997,6461,42
20,0,460,16.0,0.00871012999994,6598,43
20,0,470,16.0,0.0087752799999,6738,44
