N,trial,iterations,fitness,time,fevals
20,0,0,16.0,0.00137989600034,200,0
20,0,10,16.0,0.00315580000006,420,0
20,0,20,16.0,0.00496415099997,640,1
20,0,30,15.0,0.00631108900006,860,2
20,0,40,15.0,0.00764755199998,1080,3
20,0,50,17.0,0.00951977500017,1300,4
20,0,60,15.0,0.0112215869999,1520,0
20,0,70,16.0,0.012380485,1740,1
20,0,80,17.0,0.01422486,1960,2
20,0,90,16.0,0.0160199259999,2180,3
20,0,100,16.0,0.0177618500002,2400,4
20,0,110,16.0,0.0193980019999,2620,5
20,0,120,17.0,0.0212308800001,2840,6
20,0,130,17.0,0.022545627,3060,7
20,0,140,17.0,0.024188421,3280,8
20,0,150,15.0,0.0258728599997,3500,9
20,0,160,18.0,0.0276119739997,3720,10
20,0,170,16.0,0.0294044849993,3940,0
20,0,180,16.0,0.0312000609993,4160,1
20,0,190,16.0,0.0328569069989,4380,2
20,0,200,16.0,0.0345720049986,4600,3
20,0,210,16.0,0.0362487789985,4820,4
20,0,220,16.0,0.0379033259983,5040,5
20,0,230,16.0,0.039723429998,5260,6
20,0,240,16.0,0.0414564119978,5480,7
20,0,250,14.0,0.0429929229977,5700,8
20,0,260,16.0,0.0445950949975,5920,9
20,0,270,16.0,0.0464203079978,6140,10
20,0,280,18.0,0.0481816489978,6360,11
20,0,290,16.0,0.0499437569974,6580,12
20,0,300,17.0,0.0516741839974,6800,13
20,0,310,15.0,0.0534741039978,7020,14
20,0,320,16.0,0.0551989109977,7240,15
20,0,330,17.0,0.0564160599974,7460,16
20,0,340,18.0,0.0581940069974,7680,17
20,0,350,15.0,0.0600629089972,7900,18
20,0,360,16.0,0.0619297669973,8120,19
20,0,370,16.0,0.0636637709977,8340,20
20,0,380,16.0,0.0653050319979,8560,21
20,0,390,16.0,0.0664445119978,8780,22
20,0,400,16.0,0.0682020209974,9000,23
20,0,410,16.0,0.0703302439974,9220,24
20,0,420,17.0,0.0721899479972,9440,25
20,0,430,16.0,0.0740491409974,9660,26
20,0,440,16.0,0.0759149779974,9880,27
20,0,450,17.0,0.0775644149971,10100,28
20,0,460,17.0,0.0793525819972,10320,29
20,0,470,17.0,0.0811284859969,10540,30
20,0,480,17.0,0.0828535479968,10760,31
20,0,490,19.0,0.0845303219967,10980,32
20,0,500,18.0,0.0857168129969,11200,0
20,0,510,17.0,0.0876978739966,11420,1
20,0,520,15.0,0.0890836459967,11640,2
20,0,530,15.0,0.0908023209968,11860,3
20,0,540,15.0,0.0925084759965,12080,4
20,0,550,15.0,0.0943615369965,12300,5
20,0,560,16.0,0.0962094889969,12520,6
20,0,570,15.0,0.0980132409968,12740,7
20,0,580,15.0,0.0997817359967,12960,8
20,0,590,15.0,0.101516505997,13180,9
