N,trial,iterations,fitness,time,fevals
20,0,0,12.0,0.000257021,11,0
20,0,10,12.0,0.000344909,21,0
20,0,20,12.0,0.000421811,31,1
20,0,30,12.0,0.000498457,41,2
20,0,40,13.0,0.000586345,51,3
20,0,50,13.0,0.000685986,61,0
20,0,60,13.0,0.00076902,71,1
20,0,70,13.0,0.000851543,81,2
20,0,80,13.0,0.000919248,91,3
20,0,90,13.0,0.001009435,101,4
20,0,100,13.0,0.001104988,111,5
20,0,110,13.0,0.001187766,121,6
20,0,120,13.0,0.001296604,131,7
20,0,130,13.0,0.001348213,141,8
20,0,140,13.0,0.001407997,151,9
20,0,150,13.0,0.001748564,161,10
20,0,160,13.0,0.001829043,171,11
20,0,170,13.0,0.001877075,181,12
20,0,180,13.0,0.001928428,191,13
20,0,190,13.0,0.001986424,201,14
20,0,200,13.0,0.002037011,211,15
20,0,210,13.0,0.002116723,221,16
20,0,220,13.0,0.002162966,231,17
20,0,230,13.0,0.002227349,241,18
20,0,240,13.0,0.002272826,251,19
20,0,250,13.0,0.002333121,261,20
20,0,260,13.0,0.00239265,271,21
20,0,270,13.0,0.002435317,281,22
20,0,280,13.0,0.002479772,291,23
20,0,290,13.0,0.002524227,301,24
20,0,300,13.0,0.002582223,311,25
20,0,310,13.0,0.002631788,321,26
20,0,320,13.0,0.002673178,331,27
20,0,330,13.0,0.002714312,341,28
20,0,340,13.0,0.002793769,351,29
20,0,350,13.0,0.002835158,361,30
20,0,360,13.0,0.002874248,371,31
20,0,370,13.0,0.002914615,381,32
20,0,380,13.0,0.002999948,391,33
20,0,390,13.0,0.003065864,401,34
20,0,400,13.0,0.0030978,411,35
20,0,410,13.0,0.003130503,421,36
20,0,420,13.0,0.003166783,431,37
20,0,430,13.0,0.003202041,441,38
20,0,440,13.0,0.00324292,451,39
20,0,450,13.0,0.003284054,461,40
20,0,460,13.0,0.003326465,471,41
20,0,470,13.0,0.003368621,481,42
20,0,480,13.0,0.003415376,491,43
20,0,490,13.0,0.00345932,501,44
20,0,500,13.0,0.003491256,511,45
20,0,510,13.0,0.003538266,521,46
20,0,520,13.0,0.00357148,531,47
20,0,530,13.0,0.00360546,541,48
20,0,540,13.0,0.003643527,551,49
20,0,550,13.0,0.003676996,561,50
20,0,560,13.0,0.00372094,571,51
20,0,570,13.0,0.003759774,581,52
20,0,580,13.0,0.003794776,591,53
20,0,590,13.0,0.003830033,601,54
20,0,600,13.0,0.003904636,611,55
20,0,610,13.0,0.003952413,621,56
20,0,620,13.0,0.003986648,631,57
20,0,630,13.0,0.004047454,641,58
20,0,640,13.0,0.00408501,651,59
20,0,650,13.0,0.004125633,661,60
20,0,660,13.0,0.004160124,671,61
20,0,670,13.0,0.004194615,681,62
20,0,680,13.0,0.004230383,691,63
20,0,690,13.0,0.004264364,701,64
20,0,700,13.0,0.004298855,711,65
20,0,710,13.0,0.004335901,721,66
20,0,720,13.0,0.004368092,731,67
20,0,730,13.0,0.004404116,741,68
20,0,740,13.0,0.004439118,751,69
20,0,750,13.0,0.004472587,761,70
20,0,760,13.0,0.004507334,771,71
20,0,770,13.0,0.004544636,781,72
20,0,780,13.0,0.004581682,791,73
20,0,790,13.0,0.004617961,801,74
20,0,800,13.0,0.004651686,811,75
20,0,810,13.0,0.004700485,821,76
20,0,820,13.0,0.00474775,831,77
20,0,830,13.0,0.004786073,841,78
20,0,840,13.0,0.00481801,851,79
20,0,850,13.0,0.00485199,861,80
20,0,860,13.0,0.004882393,871,81
20,0,870,13.0,0.004915351,881,82
20,0,880,13.0,0.004966449,891,83
20,0,890,13.0,0.005019335,901,84
20,0,900,13.0,0.005049483,911,85
20,0,910,13.0,0.005078353,921,86
20,0,920,13.0,0.005138904,931,87
20,0,930,13.0,0.0051946,941,88
20,0,940,13.0,0.005223726,951,89
20,0,950,13.0,0.005251319,961,90
20,0,960,13.0,0.005280189,971,91
20,0,970,13.0,0.005307782,981,92
20,0,980,13.0,0.005339463,991,93
20,0,990,13.0,0.005363479,1001,94
20,0,1000,13.0,0.005388772,1011,95
20,0,1010,13.0,0.005422241,1021,96
20,0,1020,13.0,0.005456732,1031,97
20,0,1030,13.0,0.005483047,1041,98
20,0,1040,13.0,0.005516517,1051,99
20,0,1040,13.0,0.005516517,1051,optimal
20,1,0,12.0,2.1205e-05,11,0
20,1,10,14.0,4.2922e-05,21,0
20,1,20,16.0,7.0004e-05,31,0
20,1,30,16.0,0.000109605,41,0
20,1,40,16.0,0.000129022,51,1
20,1,50,16.0,0.000156614,61,2
20,1,60,16.0,0.000185228,71,3
20,1,70,16.0,0.000211287,81,4
20,1,80,16.0,0.000237602,91,5
20,1,90,16.0,0.000257275,101,6
20,1,100,16.0,0.000286145,111,7
20,1,110,16.0,0.000314504,121,8
20,1,120,16.0,0.000339542,131,9
20,1,130,16.0,0.000371223,141,10
20,1,140,16.0,0.000397028,151,11
20,1,150,16.0,0.000446082,161,12
20,1,160,16.0,0.000473931,171,13
20,1,170,16.0,0.000504334,181,14
20,1,180,16.0,0.000532437,191,15
20,1,190,16.0,0.000571782,201,16
20,1,200,16.0,0.000619303,211,17
20,1,210,16.0,0.00064664,221,18
20,1,220,16.0,0.000689818,231,19
20,1,230,16.0,0.000718177,241,20
20,1,240,16.0,0.000747814,251,21
20,1,250,16.0,0.000774384,261,22
20,1,260,16.0,0.000800188,271,23
20,1,270,16.0,0.000831613,281,24
20,1,280,16.0,0.000857673,291,25
20,1,290,16.0,0.000883478,301,26
20,1,300,16.0,0.000904173,311,27
20,1,310,16.0,0.000937131,321,28
20,1,320,16.0,0.000963957,331,29
20,1,330,16.0,0.000990528,341,30
20,1,340,16.0,0.001018121,351,31
20,1,350,16.0,0.001043926,361,32
20,1,360,16.0,0.001081994,371,33
20,1,370,16.0,0.001131815,381,34
20,1,380,16.0,0.001162985,391,35
20,1,390,16.0,0.001190067,401,36
20,1,400,16.0,0.001210251,411,37
20,1,410,16.0,0.001236055,421,38
20,1,420,16.0,0.001260837,431,39
20,1,430,16.0,0.001286386,441,40
20,1,440,16.0,0.001310658,451,41
20,1,450,16.0,0.001338506,461,42
20,1,460,16.0,0.001363544,471,43
20,1,470,16.0,0.001387816,481,44
20,1,480,16.0,0.001408766,491,45
20,1,490,16.0,0.001443512,501,46
20,1,500,16.0,0.001474426,511,47
20,1,510,16.0,0.001507384,521,48
20,1,520,16.0,0.001535744,531,49
20,1,530,16.0,0.001564869,541,50
20,1,540,16.0,0.001592462,551,51
20,1,550,16.0,0.001618522,561,52
20,1,560,16.0,0.001641516,571,53
20,1,570,16.0,0.001666809,581,54
20,1,580,16.0,0.001693125,591,55
20,1,590,16.0,0.001722251,601,56
20,1,600,16.0,0.001747289,611,57
20,1,610,16.0,0.001772071,621,58
20,1,620,16.0,0.001798387,631,59
20,1,630,16.0,0.001820103,641,60
20,1,640,16.0,0.00184744,651,61
20,1,650,16.0,0.001875799,661,62
20,1,660,16.0,0.001900071,671,63
20,1,670,16.0,0.001930729,681,64
20,1,680,16.0,0.001956023,691,65
20,1,690,16.0,0.002018362,701,66
20,1,700,16.0,0.002041357,711,67
20,1,710,16.0,0.002067417,721,68
20,1,720,16.0,0.002094499,731,69
20,1,730,16.0,0.002120815,741,70
20,1,740,16.0,0.002147896,751,71
20,1,750,16.0,0.0021737,761,72
20,1,760,16.0,0.002195672,771,73
20,1,770,16.0,0.00222071,781,74
20,1,780,16.0,0.00224166,791,75
20,1,790,16.0,0.002268997,801,76
20,1,800,16.0,0.002294546,811,77
20,1,810,16.0,0.00231473,821,78
20,1,820,16.0,0.002340279,831,79
20,1,830,16.0,0.002364039,841,80
20,1,840,16.0,0.002392909,851,81
20,1,850,16.0,0.002415648,861,82
20,1,860,16.0,0.002440686,871,83
20,1,870,16.0,0.002477476,881,84
20,1,880,16.0,0.00252142,891,85
20,1,890,16.0,0.002542371,901,86
20,1,900,16.0,0.002567409,911,87
20,1,910,16.0,0.002596024,921,88
20,1,920,16.0,0.002620296,931,89
20,1,930,16.0,0.002650955,941,90
20,1,940,16.0,0.002675993,951,91
20,1,950,16.0,0.002703841,961,92
20,1,960,16.0,0.002733478,971,93
20,1,970,16.0,0.002763114,981,94
20,1,980,16.0,0.002791729,991,95
20,1,990,16.0,0.00283414,1001,96
20,1,1000,16.0,0.002877573,1011,97
20,1,1010,16.0,0.002901079,1021,98
20,1,1020,16.0,0.002925351,1031,99
20,1,1020,16.0,0.002925351,1031,optimal
20,2,0,13.0,2.01830000002e-05,11,0
20,2,10,13.0,4.64980000001e-05,21,0
20,2,20,13.0,7.23030000001e-05,31,1
20,2,30,13.0,9.42749999999e-05,41,2
20,2,40,13.0,0.000152527,51,3
20,2,50,13.0,0.000174499,61,4
20,2,60,13.0,0.000202603,71,5
20,2,70,13.0,0.000226619,81,6
20,2,80,15.0,0.00024527,91,7
20,2,90,15.0,0.000268775,101,0
20,2,100,15.0,0.000291768999999,111,1
20,2,110,15.0,0.000316806999999,121,2
20,2,120,15.0,0.000340567,131,3
20,2,130,15.0,0.000358963,141,4
20,2,140,15.0,0.000380679,151,5
20,2,150,15.0,0.000400096,161,6
20,2,160,15.0,0.000422068,171,7
20,2,170,15.0,0.000442762,181,8
20,2,180,15.0,0.000462435,191,9
20,2,190,15.0,0.000489515999999,201,10
20,2,200,15.0,0.000513276,211,11
20,2,210,15.0,0.000534737,221,12
20,2,220,15.0,0.000557730999999,231,13
20,2,230,15.0,0.000591455999999,241,14
20,2,240,15.0,0.000611128999999,251,15
20,2,250,15.0,0.000629524999999,261,16
20,2,260,15.0,0.000647919999999,271,17
20,2,270,15.0,0.000685476999999,281,18
20,2,280,15.0,0.000707704999999,291,19
20,2,290,15.0,0.000732486999999,301,20
20,2,300,15.0,0.000758545999999,311,21
